rank,ch_raw,career_high,prev_career_high,at_career_high,is_new_career_high,player,age,country,flag,points,rank_change,current,previous,next,max,is_playing
1,CH,1,,yes,no,Aryna Sabalenka,27,BLR,BLR,10990,,,,,,no
2,1,1,,no,no,Iga Świątek,24,POL,POL,7653,,-325,Doha R32 7708 8588,,,yes
3,CH,3,,yes,no,Elena Rybakina,26,KAZ,KAZ,7416,,-107,Doha R32 7428 8308,,,yes
4,2,2,,no,no,Coco Gauff,21,USA,USA,6423,,+1,,Lost in Doha R32,,no
5,3,3,,no,no,Jessica Pegula,31,USA,USA,5953,+1,-150,,,,no
6,3,3,,no,no,Amanda Anisimova,24,USA,USA,5690,-2,-990,,Lost in Doha R32,,no
7,5,5,,no,no,Mirra Andreeva,18,RUS,RUS,4786,,+55,Doha R16 (R32 )4881 5666,,,yes
8,4,4,,no,no,Jasmine Paolini,30,ITA,ITA,4157,,-110,,Lost in Doha R32,,no
9,3,3,,no,no,Elina Svitolina,31,UKR,UKR,3150,,-55,Doha R32 3260 4140,,,yes
10,CH,10,,yes,no,Ekaterina Alexandrova,31,RUS,RUS,2918,,-282,,Lost in Doha R32 Advertisement,,no
11,4,4,,no,no,Belinda Bencic,28,SUI,SUI,2843,,,,,,no
12,NCH (13),12,13,yes,yes,Victoria Mboko,19,CAN,CAN,2716,+1,+110,Doha R16 (R64 )2811 3596,,,yes
13,12,12,,no,no,Linda Nosková,21,CZE,CZE,2571,-1,-55,Doha R32 (R64 )2626 3506,,,yes
14,12,12,,no,no,Clara Tauson,23,DEN,DEN,2530,,,,Lost in Doha R64,,no
15,1,1,,no,no,Naomi Osaka,28,JPN,JPN,2366,,,,,,no
16,5,5,,no,no,Madison Keys,30,USA,USA,2351,,,,,,no
17,8,8,,no,no,Karolína Muchová,29,CZE,CZE,2123,+2,+65,Doha R32 (R64 )2178 3058,,,yes
18,12,12,,no,no,Ludmilla Samsonova,27,RUS,RUS,2105,-1,-11,,Lost in Doha R64,,no
19,8,8,,no,no,Emma Navarro,24,USA,USA,2100,-1,+5,Doha R32 (R64 )2155 3035,,,yes
20,CH,20,,yes,no,Iva Jovic,18,USA,USA,2031,,,,,,no
21,11,11,,no,no,Diana Shnaider,21,RUS,RUS,1953,,,,Lost in Doha R64,,no
22,12,12,,no,no,Elise Mertens,30,BEL,BEL,1881,,-55,,Lost in Doha R32,,no
23,4,4,,no,no,Qinwen Zheng,23,CHN,CHN,1713,+3,+55,Doha R32 (R64 )1768 2648,,,yes
24,10,10,,no,no,Emma Raducanu,23,GBR,GBR,1700,,+1,,Lost in Doha R64,,no
25,16,16,,no,no,Marta Kostyuk,23,UKR,UKR,1649,-2,-214,,,,no
26,11,11,,no,no,Anna Kalinskaya,27,RUS,RUS,1608,+2,+33,Doha R32 1663 2543,,,yes
27,13,13,,no,no,Leylah Fernandez,23,CAN,CAN,1587,,-66,,Lost in Doha R64,,no
28,NCH (29),28,29,yes,yes,Maya Joint,19,AUS,AUS,1549,,+2,,Lost in Doha R64,,no
29,21,21,,no,no,Sorana Cîrstea,35,ROU,ROU,1499,,+2,,,,no
30,CH,30,,yes,no,Mccartney Kessler,26,USA,USA,1476,,+2,,,,no
31,4,4,,no,no,Sofia Kenin,27,USA,USA,1472,-2,-95,,Lost in Doha R64,,no
32,CH,32,,yes,no,Xinyu Wang,24,CHN,CHN,1418,+1,+35,Doha R32 1473 2353,,,yes
33,NCH (34),33,34,yes,yes,Loïs Boisson,22,FRA,FRA,1349,,+1,,,,no
34,33,33,,no,no,Ann Li,25,USA,USA,1333,+7,+90,Doha R16 (R64 )1428 2213,,,yes
35,5,5,,no,no,Jeļena Ostapenko,28,LAT,LAT,1330,-11,-530,Doha R16 1425 2210,,,yes
36,6,6,,no,no,Markéta Vondroušová,26,CZE,CZE,1328,-1,-10,,,,no
37,35,35,,no,no,Jaqueline Cristian,27,ROU,ROU,1307,,-1,,Lost in Doha R64,,no
38,24,24,,no,no,Marie Bouzková,27,CZE,CZE,1285,,-1,,Lost in Doha R64,,no
39,38,38,,no,no,Sára Bejlek,20,CZE,CZE,1277,,-1,,,,no
