fetched_at_utc,category_key,category_label,rank,player_name,player_id,profile_url,image_url,rating,metric_1_name,metric_1_value,metric_2_name,metric_2_value,metric_3_name,metric_3_value,metric_4_name,metric_4_value,metric_5_name,metric_5_value,metric_6_name,metric_6_value,metrics_json
2026-02-07T16:22:48.451712Z,pressure,Under Pressure,1,Carlos Alcaraz,A0E2,https://www.atptour.com/en/players/carlos-alcaraz/a0e2/overview,https://www.atptour.com/-/media/alias/player-headshot/A0E2,256.4,% Break Points Converted,44.0%,% Break Points Saved,66.9%,% Tie Breaks Won,64.5%,% Deciding Sets Won,81.0%,,,,,"{""% Break Points Converted"": ""44.0%"", ""% Break Points Saved"": ""66.9%"", ""% Tie Breaks Won"": ""64.5%"", ""% Deciding Sets Won"": ""81.0%""}"
2026-02-07T16:22:48.451712Z,pressure,Under Pressure,2,Jannik Sinner,S0AG,https://www.atptour.com/en/players/jannik-sinner/s0ag/overview,https://www.atptour.com/-/media/alias/player-headshot/S0AG,247.7,% Break Points Converted,43.8%,% Break Points Saved,72.6%,% Tie Breaks Won,81.3%,% Deciding Sets Won,50.0%,,,,,"{""% Break Points Converted"": ""43.8%"", ""% Break Points Saved"": ""72.6%"", ""% Tie Breaks Won"": ""81.3%"", ""% Deciding Sets Won"": ""50.0%""}"
2026-02-07T16:22:48.451712Z,pressure,Under Pressure,3,Novak Djokovic,D643,https://www.atptour.com/en/players/novak-djokovic/d643/overview,https://www.atptour.com/-/media/alias/player-headshot/D643,246.5,% Break Points Converted,42.0%,% Break Points Saved,64.6%,% Tie Breaks Won,52.4%,% Deciding Sets Won,87.5%,,,,,"{""% Break Points Converted"": ""42.0%"", ""% Break Points Saved"": ""64.6%"", ""% Tie Breaks Won"": ""52.4%"", ""% Deciding Sets Won"": ""87.5%""}"
2026-02-07T16:22:48.451712Z,pressure,Under Pressure,4,Ben Shelton,S0S1,https://www.atptour.com/en/players/ben-shelton/s0s1/overview,https://www.atptour.com/-/media/alias/player-headshot/S0S1,239.1,% Break Points Converted,40.7%,% Break Points Saved,66.2%,% Tie Breaks Won,59.5%,% Deciding Sets Won,72.7%,,,,,"{""% Break Points Converted"": ""40.7%"", ""% Break Points Saved"": ""66.2%"", ""% Tie Breaks Won"": ""59.5%"", ""% Deciding Sets Won"": ""72.7%""}"
2026-02-07T16:22:48.451712Z,pressure,Under Pressure,5,Sebastian Baez,B0BI,https://www.atptour.com/en/players/sebastian-baez/b0bi/overview,https://www.atptour.com/-/media/alias/player-headshot/B0BI,238.7,% Break Points Converted,44.2%,% Break Points Saved,58.8%,% Tie Breaks Won,83.3%,% Deciding Sets Won,52.4%,,,,,"{""% Break Points Converted"": ""44.2%"", ""% Break Points Saved"": ""58.8%"", ""% Tie Breaks Won"": ""83.3%"", ""% Deciding Sets Won"": ""52.4%""}"
2026-02-07T16:22:48.451712Z,pressure,Under Pressure,6,Felix Auger-Aliassime,AG37,https://www.atptour.com/en/players/felix-auger-aliassime/ag37/overview,https://www.atptour.com/-/media/alias/player-headshot/AG37,237.4,% Break Points Converted,32.7%,% Break Points Saved,67.5%,% Tie Breaks Won,65.8%,% Deciding Sets Won,71.4%,,,,,"{""% Break Points Converted"": ""32.7%"", ""% Break Points Saved"": ""67.5%"", ""% Tie Breaks Won"": ""65.8%"", ""% Deciding Sets Won"": ""71.4%""}"
2026-02-07T16:22:48.451712Z,pressure,Under Pressure,7,Grigor Dimitrov,D875,https://www.atptour.com/en/players/grigor-dimitrov/d875/overview,https://www.atptour.com/-/media/alias/player-headshot/D875,235.8,% Break Points Converted,38.8%,% Break Points Saved,65.6%,% Tie Breaks Won,60.0%,% Deciding Sets Won,71.4%,,,,,"{""% Break Points Converted"": ""38.8%"", ""% Break Points Saved"": ""65.6%"", ""% Tie Breaks Won"": ""60.0%"", ""% Deciding Sets Won"": ""71.4%""}"
2026-02-07T16:22:48.451712Z,pressure,Under Pressure,8,Jack Draper,D0CO,https://www.atptour.com/en/players/jack-draper/d0co/overview,https://www.atptour.com/-/media/alias/player-headshot/D0CO,231.3,% Break Points Converted,39.9%,% Break Points Saved,64.7%,% Tie Breaks Won,66.7%,% Deciding Sets Won,60.0%,,,,,"{""% Break Points Converted"": ""39.9%"", ""% Break Points Saved"": ""64.7%"", ""% Tie Breaks Won"": ""66.7%"", ""% Deciding Sets Won"": ""60.0%""}"
2026-02-07T16:22:48.451712Z,pressure,Under Pressure,9,Learner Tien,T0HA,https://www.atptour.com/en/players/learner-tien/t0ha/overview,https://www.atptour.com/-/media/alias/player-headshot/T0HA,228.3,% Break Points Converted,42.4%,% Break Points Saved,63.0%,% Tie Breaks Won,62.9%,% Deciding Sets Won,60.0%,,,,,"{""% Break Points Converted"": ""42.4%"", ""% Break Points Saved"": ""63.0%"", ""% Tie Breaks Won"": ""62.9%"", ""% Deciding Sets Won"": ""60.0%""}"
2026-02-07T16:22:48.451712Z,pressure,Under Pressure,10,Alexander Bublik,BK92,https://www.atptour.com/en/players/alexander-bublik/bk92/overview,https://www.atptour.com/-/media/alias/player-headshot/BK92,228.2,% Break Points Converted,39.6%,% Break Points Saved,70.3%,% Tie Breaks Won,65.4%,% Deciding Sets Won,52.9%,,,,,"{""% Break Points Converted"": ""39.6%"", ""% Break Points Saved"": ""70.3%"", ""% Tie Breaks Won"": ""65.4%"", ""% Deciding Sets Won"": ""52.9%""}"
